frame,work_ms,stream_ms,interval_ms,pending,inflight,ready
349,8.626076,0.002250,8.579586,0,0,true
350,6.154265,0.001220,8.628486,0,0,true
351,3.502423,0.001120,8.211606,0,0,true
352,6.968585,0.001640,7.560376,0,0,true
353,8.347287,0.001490,9.025606,0,0,true
354,4.327763,0.001300,8.350347,0,0,true
355,3.458212,0.002110,8.386646,0,0,true
356,8.803726,0.001990,8.517476,0,0,true
357,7.272656,0.001380,8.806246,0,0,true
358,3.656383,0.001820,8.332296,0,0,true
359,4.283153,0.001870,7.715766,0,0,true
360,8.787606,0.001730,8.340196,0,0,true
361,6.729745,0.001570,8.791386,0,0,true
362,3.535743,0.001450,7.788466,0,0,true
363,6.667735,0.002270,8.593236,0,0,true
364,8.449986,0.001840,8.724267,0,0,true
365,4.502813,0.001300,8.452916,0,0,true
366,3.418963,0.001480,7.544355,0,0,true
367,9.285397,0.001440,8.475456,0,0,true
368,6.477125,0.001230,9.287707,0,0,true
369,3.388082,0.001250,7.532666,0,0,true
370,5.456034,0.042240,8.446506,87,32,true
371,9.850167,0.583710,8.512276,60,32,true
372,6.023555,0.416730,9.854817,28,28,true
373,3.701033,0.355730,8.047746,0,0,true
374,4.813123,0.046370,7.759746,87,32,true
375,9.996037,0.402680,8.871666,55,32,true
376,6.388145,0.379431,10.000177,23,23,true
377,3.650002,0.236450,7.444306,0,0,true
378,5.886734,0.001890,8.709526,0,0,true
379,9.226027,0.001930,8.166236,0,0,true
380,5.042943,0.001590,9.228547,0,0,true
381,3.481472,0.002120,8.101796,0,0,true
382,9.753867,0.002170,8.538626,0,0,true
383,8.036186,0.002840,9.758577,0,0,true
384,4.006533,0.002340,8.040116,0,0,true
385,3.481672,0.002890,8.065486,0,0,true
386,9.484327,0.002650,8.540296,0,0,true
387,7.368885,0.001750,9.521357,0,0,true
388,3.686113,0.001870,7.372435,0,0,true
389,3.891112,0.001760,8.744197,0,0,true
390,9.776147,0.003340,7.949795,0,0,true
391,6.893545,0.002690,9.807547,0,0,true
392,3.532583,0.001760,7.949866,0,0,true
393,5.242444,0.002240,8.589456,0,0,true
394,9.771587,0.003890,8.300107,0,0,true
395,5.934544,0.002710,9.774147,0,0,true
396,3.489343,0.002200,7.990735,0,0,true
397,9.313626,0.001510,8.545837,0,0,true
398,5.893165,0.003090,9.317126,0,0,true
399,3.416513,0.001950,7.951856,0,0,true
400,8.538077,0.001610,8.472406,0,0,true
401,6.581524,0.001440,8.541427,0,0,true
402,3.491293,0.001210,7.639345,0,0,true
403,4.565354,0.001920,8.550206,0,0,true
404,9.821617,0.001850,8.624377,0,0,true
405,6.567645,0.001560,9.823477,0,0,true
406,3.509233,0.001690,7.626835,0,0,true
407,6.054974,0.001720,8.567107,0,0,true
408,9.409977,0.001870,8.128945,0,0,true
409,4.710414,0.001660,9.411937,0,0,true
410,3.237592,0.001620,7.768686,0,0,true
411,9.784657,0.001530,8.294146,0,0,true
412,6.361975,0.001260,9.786087,0,0,true
413,3.442153,0.001240,7.417855,0,0,true
414,4.232523,0.001460,8.498667,0,0,true
415,9.986307,0.001540,8.289566,0,0,true
416,6.194194,0.001990,9.988487,0,0,true
417,3.482142,0.001470,8.251316,0,0,true
418,5.171814,0.001450,7.539455,0,0,true
419,10.168748,0.001290,9.228637,0,0,true
420,5.867754,0.001270,10.170588,0,0,true
421,3.484363,0.001330,7.924285,0,0,true
422,9.020736,0.051690,8.540497,87,32,true
423,6.843895,0.406880,9.025696,55,32,true
424,3.733083,0.340070,7.854656,23,23,true
425,6.845615,0.329630,8.792176,0,0,true
426,8.871266,0.001530,7.905186,0,0,true
427,4.104593,0.001230,8.873236,0,0,true
428,3.329403,0.001390,8.161176,0,0,true
429,10.392608,0.001390,8.385806,0,0,true
430,6.609435,0.001150,10.394178,0,0,true
431,3.446772,0.001150,7.665036,0,0,true
432,4.330193,0.001810,8.502786,0,0,true
433,10.681308,0.001580,8.385956,0,0,true
434,6.075534,0.040690,10.682908,87,32,true
435,4.316103,0.495760,8.132276,55,32,true
436,8.786846,0.396370,8.373006,23,23,true
437,6.420365,0.281020,8.791426,0,0,true
438,3.435983,0.002040,7.481105,0,0,true
439,4.634093,0.001920,8.494467,0,0,true
440,10.708878,0.001590,8.693376,0,0,true
441,6.164154,0.001300,10.710788,0,0,true
442,3.680162,0.001370,8.220406,0,0,true
443,3.672633,0.002410,7.737445,0,0,true
444,10.507427,0.002350,8.729217,0,0,true
445,6.398645,0.002320,10.509657,0,0,true
446,3.488672,0.001700,7.454486,0,0,true
447,4.933884,0.001490,8.544626,0,0,true
448,10.526538,0.001950,8.991956,0,0,true
449,6.000515,0.001950,10.528988,0,0,true
450,3.426662,0.001710,8.057216,0,0,true
451,8.997687,0.001850,8.483576,0,0,true
452,6.500054,0.001610,8.999907,0,0,true
453,3.531643,0.001370,7.556255,0,0,true
454,5.059354,0.001710,8.587816,0,0,true
455,10.446598,0.001340,8.116056,0,0,true
456,5.408154,0.001490,10.448608,0,0,true
457,3.263333,0.001980,7.465275,0,0,true
458,5.863065,0.001860,8.319346,0,0,true
459,10.455888,0.001990,8.919417,0,0,true
460,5.344893,0.001670,10.457638,0,0,true
461,3.427332,0.001230,7.402075,0,0,true
462,8.665036,0.001460,8.486006,0,0,true
463,7.147066,0.001740,8.668916,0,0,true
464,3.651913,0.001970,8.206796,0,0,true
465,4.894723,0.001660,8.710417,0,0,true
466,10.445468,0.001710,7.954095,0,0,true
467,5.282804,0.001900,10.447658,0,0,true
468,3.584653,0.002060,8.340636,0,0,true
469,9.428917,0.001750,7.641866,0,0,true
470,5.905554,0.054460,9.431107,87,32,true
471,4.166623,0.406241,7.963575,55,32,true
472,9.002867,0.400321,8.224556,23,23,true
473,6.169614,0.261680,9.008077,0,0,true
474,3.465542,0.001780,8.229996,0,0,true
475,5.093224,0.002040,7.523325,0,0,true
476,10.247957,0.001670,9.150037,0,0,true
477,6.063015,0.001650,10.249947,0,0,true
478,3.562423,0.001640,8.120346,0,0,true
479,7.264205,0.001790,7.619656,0,0,true
480,8.317796,0.001440,8.320036,0,0,true
481,3.917573,0.001490,8.321106,0,0,true
482,3.849132,0.001500,8.974547,0,0,true
483,10.015678,0.001940,7.905755,0,0,true
484,5.929784,0.001750,10.017808,0,0,true
485,3.554803,0.002420,7.986825,0,0,true
486,9.019926,0.001540,8.610537,0,0,true
487,6.190905,0.001630,9.021846,0,0,true
488,3.602043,0.001730,8.248726,0,0,true
489,7.013665,0.001800,7.658706,0,0,true
490,8.990737,0.001750,9.071296,0,0,true
491,4.349583,0.001630,8.992837,0,0,true
492,3.164503,0.001880,7.407045,0,0,true
493,9.663147,0.001260,9.220037,0,0,true
494,7.433735,0.001400,9.665297,0,0,true
495,3.634833,0.001130,7.436685,0,0,true
496,3.716202,0.002110,8.693727,0,0,true
497,9.556127,0.002100,8.776106,0,0,true
498,8.213676,0.045910,9.558757,87,32,true
499,4.371413,0.485610,8.217696,55,32,true
500,4.168303,0.420160,8.441576,23,23,true
501,9.767587,0.308140,8.225396,0,0,true
502,6.298215,0.001880,9.769917,0,0,true
503,3.723963,0.002220,8.412946,0,0,true
504,7.964956,0.002380,7.784686,0,0,true
505,6.181184,0.002180,7.969046,0,0,true
506,3.589232,0.001920,8.237646,0,0,true
507,8.934117,0.002270,8.647046,0,0,true
508,6.382934,0.001930,8.938637,0,0,true
509,3.393532,0.001730,7.440315,0,0,true
510,4.206243,0.001850,8.464566,0,0,true
511,9.097947,0.001560,8.263176,0,0,true
512,7.191875,0.001590,9.101787,0,0,true
513,3.639782,0.002720,8.247826,0,0,true
514,4.001903,0.001460,7.706435,0,0,true
515,8.989387,0.001340,9.058447,0,0,true
516,7.371915,0.001420,8.991577,0,0,true
517,3.715823,0.001640,7.374925,0,0,true
518,3.876043,0.145560,8.774526,87,32,true
519,9.402417,0.420490,7.935376,55,32,true
520,7.230235,0.376230,9.406497,23,23,true
521,3.788453,0.239150,8.286646,0,0,true
522,3.991352,0.001600,7.827546,0,0,true
523,8.982677,0.001940,8.050765,0,0,true
524,6.789885,0.001700,8.986687,0,0,true
525,3.548992,0.002060,7.849256,0,0,true
526,5.566544,0.002490,8.608566,0,0,true
527,8.887677,0.002280,8.626886,0,0,true
528,5.796284,0.001750,8.889967,0,0,true
529,3.388993,0.001950,7.856285,0,0,true
530,8.684106,0.001530,8.445187,0,0,true
531,6.530865,0.001480,8.687806,0,0,true
532,3.353353,0.001250,7.586375,0,0,true
533,4.632794,0.001720,8.410296,0,0,true
534,8.704116,0.001420,8.689987,0,0,true
535,7.059575,0.001560,8.705796,0,0,true
536,3.491223,0.002400,8.118146,0,0,true
537,5.138924,0.002240,8.551746,0,0,true
538,8.769307,0.002490,8.197176,0,0,true
539,6.134944,0.001540,8.771337,0,0,true
540,3.531152,0.001620,8.191776,0,0,true
541,7.408005,0.001920,7.591235,0,0,true
542,7.523356,0.002000,8.467746,0,0,true
543,3.899443,0.001950,8.583886,0,0,true
544,3.973223,0.002010,7.961116,0,0,true
545,8.710706,0.001660,9.029877,0,0,true
546,7.150915,0.001370,8.712386,0,0,true
547,3.616123,0.001480,8.206536,0,0,true
548,4.009563,0.001750,7.674066,0,0,true
549,8.665787,0.002060,9.067856,0,0,true
550,7.304665,0.001470,8.667587,0,0,true
551,3.687112,0.001340,8.360466,0,0,true
552,3.969593,0.002300,7.744475,0,0,true
553,8.734157,0.001830,8.026286,0,0,true
554,6.836664,0.002250,8.738107,0,0,true
555,3.676723,0.001640,7.892735,0,0,true
556,7.574045,0.002160,8.728527,0,0,true
557,7.869006,0.003050,8.637186,0,0,true
558,4.033523,0.001890,7.872026,0,0,true
559,2.937343,0.003221,8.093205,0,0,true
560,8.799576,0.003050,8.996867,0,0,true
561,7.474836,0.002250,8.802326,0,0,true
562,3.943333,0.041170,7.477976,87,32,true
563,6.095285,0.552011,9.004056,58,32,true
564,8.923877,0.418931,8.117816,26,26,true
565,5.098494,0.346670,8.928677,0,0,true
566,3.569552,0.099040,8.155296,87,32,true
567,8.922727,0.404901,7.628485,55,32,true
568,6.468465,0.380790,8.986357,23,23,true
569,3.912863,0.267090,8.525616,0,0,true
570,7.686655,0.001930,7.972216,0,0,true
571,6.924745,0.002230,8.745386,0,0,true
572,3.672133,0.001820,7.981236,0,0,true
573,4.579633,0.001790,7.729206,0,0,true
574,8.469816,0.002010,8.639796,0,0,true
575,6.806355,0.001510,8.473526,0,0,true
576,3.870732,0.001990,8.865307,0,0,true
577,8.100586,0.001930,7.928995,0,0,true
578,5.711294,0.001520,8.104206,0,0,true
579,3.929962,0.001940,8.768557,0,0,true
580,8.477287,0.001800,7.988595,0,0,true
581,6.514754,0.002010,8.481537,0,0,true
582,3.793263,0.002380,8.570996,0,0,true
583,8.120396,0.001630,7.850545,0,0,true
584,6.008685,0.001770,8.123886,0,0,true
585,4.145023,0.001950,9.066727,0,0,true
586,8.389056,0.001880,8.205186,0,0,true
587,6.004824,0.002040,8.392866,0,0,true
588,3.476242,0.002040,8.065346,0,0,true
589,8.307346,0.002230,8.536486,0,0,true
590,6.775965,0.001360,8.310306,0,0,true
591,3.537952,0.001290,7.831656,0,0,true
592,6.961895,0.001410,8.598026,0,0,true
593,7.657135,0.001920,8.021186,0,0,true
594,4.251113,0.001450,8.716116,0,0,true
595,6.988635,0.001870,8.311876,0,0,true
596,7.386076,0.001460,8.048876,0,0,true
597,3.762393,0.004190,8.442126,0,0,true
598,7.175165,0.001910,8.819057,0,0,true
599,7.599435,0.001570,8.186746,0,0,true
600,3.927303,0.001600,7.602895,0,0,true
601,4.388893,0.001980,8.985257,0,0,true
602,8.472196,0.001760,8.413326,0,0,true
603,6.812815,0.001090,8.476016,0,0,true
604,3.572852,0.001460,7.869086,0,0,true
