frame,work_ms,stream_ms,interval_ms,pending,inflight,ready
269,3.570922,0.001610,8.161526,0,0,true
270,3.939413,0.001770,7.629865,0,0,true
271,8.773836,0.001380,8.997727,0,0,true
272,7.455396,0.003050,8.775566,0,0,true
273,3.711422,0.001550,7.458656,0,0,true
274,3.609013,0.001800,8.770976,0,0,true
275,8.869657,0.001820,8.669606,0,0,true
276,7.305055,0.042830,8.871407,0,0,true
277,3.587192,0.001610,8.362816,0,0,true
278,3.857743,0.046690,7.643235,87,32,true
279,9.375257,0.396250,8.914727,55,32,true
280,7.195765,0.443760,9.377147,23,23,true
281,3.875992,0.314270,8.255806,0,0,true
282,4.106673,0.001790,7.933125,0,0,true
283,8.822797,0.001680,8.164946,0,0,true
284,6.435844,0.002520,8.826757,0,0,true
285,3.657123,0.002030,8.493006,0,0,true
286,7.895255,0.001710,7.715866,0,0,true
287,7.318555,0.001870,8.907576,0,0,true
288,3.768093,0.002280,8.378406,0,0,true
289,4.335333,0.002070,7.828056,0,0,true
290,8.770866,0.002060,8.395486,0,0,true
291,6.628555,0.001970,8.772836,0,0,true
292,3.379672,0.001960,7.687616,0,0,true
293,4.715273,0.001810,8.439336,0,0,true
294,8.781807,0.001750,8.774746,0,0,true
295,6.859535,0.001630,8.783527,0,0,true
296,3.474282,0.001390,7.916626,0,0,true
297,5.755824,0.001730,8.531586,0,0,true
298,8.522437,0.001570,7.812855,0,0,true
299,4.744433,0.002870,8.527037,0,0,true
300,3.868703,0.001370,8.801166,0,0,true
301,8.753586,0.001520,7.925706,0,0,true
302,6.627595,0.002930,8.758126,0,0,true
303,3.420622,0.001310,7.660606,0,0,true
304,4.830363,0.001560,8.478456,0,0,true
305,8.638317,0.001230,8.887326,0,0,true
306,7.072935,0.043000,8.640047,87,32,true
307,4.213633,0.537560,8.148716,62,32,true
308,7.769185,0.526380,8.272426,30,30,true
309,6.133265,0.378731,7.772585,0,0,true
310,3.767813,0.001980,9.190717,0,0,true
311,8.379866,0.001380,7.824286,0,0,true
312,6.160094,0.002960,8.384756,0,0,true
313,3.556852,0.001430,8.216506,0,0,true
314,8.410136,0.001820,8.615886,0,0,true
315,6.046714,0.002930,8.414996,0,0,true
316,3.519603,0.001240,8.105596,0,0,true
317,8.303526,0.001560,8.576846,0,0,true
318,6.075735,0.001500,8.307016,0,0,true
319,3.490483,0.001430,8.133056,0,0,true
320,8.236526,0.001750,8.547886,0,0,true
321,6.193545,0.001330,8.239776,0,0,true
322,3.516113,0.001410,8.242396,0,0,true
323,8.332956,0.001450,8.573397,0,0,true
324,6.022224,0.001410,8.336406,0,0,true
325,3.512682,0.001400,8.079286,0,0,true
326,8.389286,0.068100,8.569086,87,32,true
327,7.023715,0.390160,8.441906,55,32,true
328,3.810663,0.397950,8.081286,23,23,true
329,4.289593,0.255750,7.868316,0,0,true
330,8.498656,0.001840,8.347786,0,0,true
331,6.713555,0.002360,8.502826,0,0,true
332,3.598363,0.001790,8.771076,0,0,true
333,7.151725,0.001490,7.655206,0,0,true
334,7.406755,0.001370,8.207836,0,0,true
335,3.787343,0.001390,8.463216,0,0,true
336,7.664226,0.001590,8.843686,0,0,true
337,6.384734,0.001430,7.667796,0,0,true
338,3.564523,0.001470,8.441286,0,0,true
339,8.459756,0.001600,8.621756,0,0,true
340,5.979335,0.002560,8.464196,0,0,true
341,3.624693,0.001700,8.037746,0,0,true
342,9.044646,0.001930,8.681687,0,0,true
343,6.888385,0.002680,9.047836,0,0,true
344,3.463082,0.002800,7.948556,0,0,true
345,3.678253,0.002140,8.522326,0,0,true
346,9.116946,0.002240,7.737156,0,0,true
347,7.288686,0.004340,9.122096,0,0,true
348,3.722043,0.002310,8.348296,0,0,true
349,3.955543,0.002200,7.780746,0,0,true
350,9.034656,0.002110,8.013536,0,0,true
351,6.913775,0.003930,9.072767,0,0,true
352,3.484533,0.001740,7.973415,0,0,true
353,6.430164,0.001850,8.541407,0,0,true
354,8.525376,0.001820,8.486726,0,0,true
355,4.725263,0.001610,8.527326,0,0,true
356,3.347862,0.001810,7.783986,0,0,true
357,8.899906,0.001750,8.407166,0,0,true
358,6.590425,0.001610,8.901846,0,0,true
359,3.516072,0.001810,7.649406,0,0,true
360,5.729484,0.001950,8.575166,0,0,true
361,8.787587,0.001790,8.789916,0,0,true
362,5.532514,0.001510,8.789487,0,0,true
363,3.298913,0.001570,7.589725,0,0,true
364,8.061796,0.001230,8.355086,0,0,true
365,6.321675,0.001310,8.065206,0,0,true
366,4.055313,0.001340,9.377727,0,0,true
367,9.046276,0.001460,8.113856,0,0,true
368,5.343174,0.001600,9.048376,0,0,true
369,3.345362,0.001580,7.399686,0,0,true
370,8.751136,0.041280,8.402766,87,32,true
371,6.754745,0.574411,8.788466,60,32,true
372,3.935473,0.396980,7.811406,28,28,true
373,7.342795,0.362150,8.993907,0,0,true
374,8.128306,0.040980,8.371246,87,32,true
375,4.206483,0.399370,8.134906,55,32,true
376,3.718842,0.375350,8.264546,23,23,true
377,9.989067,0.250930,8.775126,0,0,true
378,6.781385,0.001530,9.991007,0,0,true
379,3.478772,0.001380,7.830856,0,0,true
380,4.582543,0.001860,8.537466,0,0,true
381,9.449617,0.001420,8.638886,0,0,true
382,6.441475,0.001280,9.451477,0,0,true
383,3.379202,0.001360,7.498446,0,0,true
384,4.332283,0.001150,8.435806,0,0,true
385,9.431967,0.001370,8.389166,0,0,true
386,6.844945,0.001600,9.433797,0,0,true
387,3.456612,0.001630,7.904066,0,0,true
388,3.882433,0.001770,8.518966,0,0,true
389,9.531297,0.001700,7.940896,0,0,true
390,6.770024,0.001560,9.533087,0,0,true
391,3.448513,0.001840,7.829305,0,0,true
392,4.323344,0.001770,8.509336,0,0,true
393,9.674878,0.001530,8.381966,0,0,true
394,6.564014,0.001770,9.677068,0,0,true
395,3.452423,0.001360,7.620715,0,0,true
396,4.736764,0.003100,8.511476,0,0,true
397,10.220907,0.004080,8.798717,0,0,true
398,7.643776,0.003560,10.224317,0,0,true
399,3.847722,0.002790,7.647806,0,0,true
400,4.208663,0.002870,8.907336,0,0,true
401,9.997797,0.002440,8.267486,0,0,true
402,6.976545,0.002470,10.000297,0,0,true
403,3.664743,0.002750,8.036966,0,0,true
404,3.830323,0.002180,7.723046,0,0,true
405,10.022088,0.002250,8.889996,0,0,true
406,7.474045,0.002080,10.024468,0,0,true
407,3.668883,0.002170,7.477555,0,0,true
408,3.931973,0.001860,8.742536,0,0,true
409,10.055928,0.002020,7.990926,0,0,true
410,6.294524,0.002460,10.058338,0,0,true
411,3.657552,0.001640,8.351666,0,0,true
412,6.205895,0.001880,7.714535,0,0,true
413,9.337927,0.001590,8.262966,0,0,true
414,4.576453,0.001860,9.339747,0,0,true
415,3.334592,0.001450,7.637366,0,0,true
416,9.861737,0.001890,8.394886,0,0,true
417,6.034134,0.001800,9.863717,0,0,true
418,3.467232,0.001730,8.093176,0,0,true
419,8.773516,0.001840,8.525726,0,0,true
420,6.370465,0.001740,8.775366,0,0,true
